  7     3  VCS  7001 SEM     1  SM: VET CLIN SCIENCE   1.0  TBA                                                      MITCHELL C
  9     1  VCS  7003         4  SPEC TOP VET CLIN SC   1-4  TBA                                                      NEVAREZ J
  9     1  VCS  7003         6  SPEC TOP VET CLIN SC   1-4  TBA                                                      PUCHEU-HASTON
  5     5  VCS  7202 LAB     1  VET SURGICAL TECHN     1.0  1140-1230   M                                            RIGGS L
  6     4  VCS  7209         1  ADV VET RESPIR DIS     2.0  TBA                                                      RIGGS L
  7     1  VCS  7210         3  VET SCI JOURNAL REV    1.0  TBA                                                      EILTS B
  7     1  VCS  7210         4  VET SCI JOURNAL REV    1.0  TBA                                                      SAILE K
  7     1  VCS  7210         5  VET SCI JOURNAL REV    1.0  TBA                                                      MCCONNICO R
  7     1  VCS  7210         6  VET SCI JOURNAL REV    1.0  TBA                                                      LOPEZ M
  6     2  VCS  7210         7  VET SCI JOURNAL REV    1.0  TBA                                                      PARIAUT R
  7     1  VCS  7210         8  VET SCI JOURNAL REV    1.0  TBA                                                      GASCHEN L
  7     1  VCS  7210        10  VET SCI JOURNAL REV    1.0  TBA                                                      PUCHEU-HASTON
